Website,Timestamp,BYPASS_PROXY_1 Result,BYPASS_PROXY_1 Start Time,BYPASS_PROXY_1 Failure Time,BYPASS_PROXY_2 Result,BYPASS_PROXY_2 Start Time,BYPASS_PROXY_2 Failure Time,BYPASS_PROXY_3 Result,BYPASS_PROXY_3 Start Time,BYPASS_PROXY_3 Failure Time,QUIC_PROXY_1 Result,QUIC_PROXY_1 Start Time,QUIC_PROXY_1 Failure Time,QUIC_PROXY_2 Result,QUIC_PROXY_2 Start Time,QUIC_PROXY_2 Failure Time,QUIC_PROXY_3 Result,QUIC_PROXY_3 Start Time,QUIC_PROXY_3 Failure Time
whatsapp,06-03 22:54:14,True,06-03 22:55:10,242.93432593345642,True,06-03 22:59:16,21.150714874267578,False,06-03 22:59:40,0.4566168785095215,True,06-03 22:54:15,14.978632926940918,True,06-03 22:54:33,13.42782711982727,True,06-03 22:54:50,16.799942016601562
fc2,06-03 22:59:42,False,06-03 22:59:44,151.28142309188843,False,06-03 23:02:18,151.0933220386505,True,06-03 23:04:52,84.82691621780396,False,06-03 23:06:20,10.770020008087158,False,06-03 23:06:34,15.46828007698059,False,06-03 23:06:53,11.460801839828491
dropbox,06-03 23:07:06,True,06-03 23:07:08,118.56027698516846,False,06-03 23:09:09,151.1404242515564,True,06-03 23:11:44,253.52133774757385,True,06-03 23:16:00,30.426805019378662,True,06-03 23:16:34,30.761329174041748,True,06-03 23:17:08,28.737478971481323
youku,06-03 23:17:39,True,06-03 23:17:40,95.76637005805969,False,06-03 23:19:19,2.714587926864624,False,06-03 23:19:25,75.81627488136292,False,06-03 23:20:44,10.759862899780273,False,06-03 23:20:58,11.766501188278198,True,06-03 23:21:13,60.64009213447571
adobe,06-03 23:22:15,True,06-03 23:32:47,333.4266378879547,True,06-03 23:38:24,43.9886679649353,False,06-03 23:39:11,228.79648208618164,False,06-03 23:22:16,600.0205690860748,False,06-03 23:32:20,10.777875185012817,False,06-03 23:32:34,10.715064764022827
xhamster,06-03 23:43:02,False,06-03 23:43:03,152.4963948726654,True,06-03 23:45:39,161.16159319877625,False,06-03 23:48:23,226.25573706626892,False,06-03 23:52:13,11.018351793289185,False,06-03 23:52:27,11.052102088928223,True,06-03 23:52:41,15.134896039962769
tianya,06-03 23:52:58,False,06-03 23:56:37,75.72628712654114,False,06-03 23:57:56,76.98022294044495,False,06-03 23:59:16,75.43895816802979,True,06-03 23:52:59,38.8298921585083,True,06-03 23:53:41,77.89581298828125,True,06-03 23:55:03,90.91393423080444
amazon,06-04 00:34:08,False,06-04 00:34:52,84.73554301261902,False,06-04 00:36:20,77.52482771873474,True,06-04 00:37:41,178.1104519367218,False,06-04 00:34:09,10.90541386604309,False,06-04 00:34:23,10.719901084899902,False,06-04 00:34:37,11.84400987625122
twitch,06-04 00:40:41,False,06-04 00:41:55,241.22966289520264,True,06-04 00:45:59,202.2978160381317,True,06-04 00:49:25,241.3272740840912,False,06-04 00:40:42,11.911495208740234,False,06-04 00:40:57,11.71749472618103,True,06-04 00:41:12,39.61654615402222
wikia,06-04 00:53:28,True,06-04 00:56:01,111.06339192390442,True,06-04 00:57:55,323.3777222633362,True,06-04 01:03:22,176.6087749004364,False,06-04 00:53:29,10.761800050735474,True,06-04 00:53:43,41.90122628211975,True,06-04 00:54:28,89.72537684440613
alibaba,06-04 01:06:20,False,06-04 01:06:21,150.74354100227356,True,06-04 01:08:55,168.10231232643127,True,06-04 01:11:47,89.72307586669922,False,06-04 01:13:20,11.719435930252075,True,06-04 01:13:34,25.704894065856934,True,06-04 01:14:03,22.674144983291626
coccoc,06-04 01:14:28,False,06-04 01:17:45,76.13474488258362,True,06-04 01:19:05,29.97129988670349,False,06-04 01:19:38,75.7034661769867,True,06-04 01:14:29,20.091991186141968,True,06-04 01:14:52,46.06072497367859,True,06-04 01:15:42,120.67613887786865
adf,06-04 01:20:56,True,06-04 01:20:57,157.77706503868103,True,06-04 01:23:38,163.18413376808167,False,06-04 01:26:24,150.77147698402405,True,06-04 01:28:58,25.105558156967163,True,06-04 01:29:26,25.279176235198975,True,06-04 01:29:55,47.21030282974243
craigslist,06-04 01:30:44,False,06-04 01:30:45,78.75115919113159,False,06-04 01:32:07,76.63721895217896,False,06-04 01:33:27,76.6068332195282,False,06-04 01:34:47,11.719802141189575,True,06-04 01:35:02,15.023816108703613,True,06-04 01:35:20,7.013068914413452
quora,06-04 01:35:29,True,06-04 01:36:15,79.32766199111938,False,06-04 01:37:37,0.38202381134033203,False,06-04 01:37:41,150.79645109176636,True,06-04 01:35:30,10.689963102340698,True,06-04 01:35:44,12.334858179092407,True,06-04 01:35:59,12.457432746887207
so,06-04 01:40:14,True,06-04 01:41:21,90.69424510002136,False,06-04 01:42:55,80.39769101142883,False,06-04 01:44:18,79.67569708824158,True,06-04 01:40:15,14.180372953414917,True,06-04 01:40:32,34.28262233734131,True,06-04 01:41:10,8.167149782180786
bbc,06-04 01:45:40,False,06-04 01:47:03,77.49033784866333,True,06-04 01:48:24,161.32288599014282,False,06-04 01:51:08,0.40644097328186035,False,06-04 01:45:41,10.98702597618103,False,06-04 01:45:55,11.014477014541626,True,06-04 01:46:10,50.26466512680054
360,06-04 02:02:20,False,06-04 02:02:22,76.9545259475708,False,06-04 02:03:42,79.02388596534729,True,06-04 02:05:04,312.318559885025,False,06-04 02:10:19,11.998462915420532,False,06-04 02:10:35,11.066715955734253,True,06-04 02:10:49,14.72550106048584
co,06-04 02:11:06,False,06-04 02:14:57,7.459206819534302,False,06-04 02:15:07,1.4199869632720947,False,06-04 02:15:12,1.398287057876587,True,06-04 02:11:07,76.70144820213318,True,06-04 02:12:27,80.39286208152771,True,06-04 02:13:50,63.31620407104492
flipkart,06-04 02:15:15,False,06-04 02:15:16,76.13679313659668,True,06-04 02:16:36,180.9589400291443,False,06-04 02:19:40,78.13331985473633,False,06-04 02:21:01,10.754957914352417,False,06-04 02:21:15,12.042049169540405,True,06-04 02:21:30,20.68121600151062
bongacams,06-04 02:21:53,False,06-04 02:22:50,75.68263721466064,False,06-04 02:24:09,76.21889400482178,False,06-04 02:25:29,75.4046618938446,True,06-04 02:21:54,18.459826946258545,True,06-04 02:22:16,14.223521947860718,True,06-04 02:22:33,14.023030042648315
co,06-04 02:26:46,False,06-04 02:42:56,78.37162590026855,True,06-04 02:44:18,115.87541580200195,True,06-04 02:46:17,185.9374258518219,False,06-04 02:26:47,600.0271050930023,True,06-04 02:36:50,93.5997097492218,True,06-04 02:38:27,265.8905231952667
ask,06-04 02:49:25,False,06-04 02:49:26,9.38419508934021,False,06-04 02:49:38,75.97026491165161,False,06-04 02:50:58,76.73777198791504,False,06-04 02:52:17,11.750025987625122,False,06-04 02:52:32,10.844836950302124,False,06-04 02:52:46,12.127847909927368
vimeo,06-04 02:53:01,True,06-04 02:53:02,64.42341470718384,True,06-04 02:54:09,527.5334279537201,True,06-04 03:03:00,312.88783597946167,True,06-04 03:08:16,39.77571725845337,False,06-04 03:08:59,600.0202929973602,False,06-04 03:19:02,10.907903909683228
godaddy,06-04 03:19:15,False,06-04 03:19:16,153.64564609527588,True,06-04 03:21:53,13.497809886932373,True,06-04 03:22:10,9.236875057220459,False,06-04 03:22:22,10.838226079940796,True,06-04 03:22:36,7.096679925918579,True,06-04 03:22:46,5.852689027786255
salesforce,06-04 03:22:54,True,06-04 03:25:46,183.1770248413086,False,06-04 03:28:52,151.81090593338013,False,06-04 03:31:27,7.434552907943726,True,06-04 03:22:55,35.039326906204224,True,06-04 03:23:34,124.97432804107666,False,06-04 03:25:42,0.7435917854309082
txxx,06-04 03:31:37,True,06-04 03:33:13,165.8112587928772,False,06-04 03:36:02,150.75150728225708,True,06-04 03:38:36,168.8427300453186,True,06-04 03:31:38,30.510581970214844,True,06-04 03:32:11,28.185998916625977,True,06-04 03:32:43,27.61733388900757
zhihu,06-04 04:01:37,True,06-04 04:03:21,15.671098947525024,True,06-04 04:03:40,18.254582166671753,False,06-04 04:04:02,226.82518100738525,False,06-04 04:01:38,31.573729991912842,False,06-04 04:02:13,31.00091004371643,False,06-04 04:02:47,30.97113609313965
dailymotion,06-04 04:14:39,False,06-04 04:14:40,80.22237014770508,False,06-04 04:16:04,31.727414846420288,False,06-04 04:16:39,0.38152217864990234,True,06-04 04:16:42,86.05047035217285,True,06-04 04:18:11,130.74327898025513,False,06-04 04:20:25,1.0045289993286133
bet365,06-04 04:20:28,True,06-04 04:20:30,11.416796922683716,False,06-04 04:20:44,75.50108480453491,False,06-04 04:22:03,75.96963405609131,False,06-04 04:23:22,30.98827886581421,False,06-04 04:23:56,30.91359806060791,True,06-04 04:24:30,31.793746948242188
soundcloud,06-04 04:25:04,True,06-04 04:25:05,406.46692991256714,True,06-04 04:31:55,478.79381227493286,True,06-04 04:39:57,409.12809705734253,True,06-04 04:46:49,42.130494832992554,True,06-04 04:47:34,57.88627815246582,False,06-04 04:48:35,0.42568397521972656
booking,06-04 04:48:38,False,06-04 04:48:39,80.06858110427856,True,06-04 04:50:02,40.37197399139404,False,06-04 04:50:46,76.05928087234497,False,06-04 04:52:05,31.096723079681396,True,06-04 04:52:39,34.248196840286255,True,06-04 04:53:17,23.685431003570557
savefrom,06-04 04:53:42,False,06-04 04:55:04,79.0933108329773,True,06-04 04:56:27,234.6861927509308,False,06-04 05:00:24,77.71307492256165,True,06-04 04:53:44,23.380016088485718,True,06-04 04:54:10,22.97837996482849,True,06-04 04:54:36,24.926634311676025
terraclicks,06-04 05:01:44,False,06-04 05:01:45,76.51265716552734,False,06-04 05:03:05,1.0000698566436768,False,06-04 05:03:09,0.9999120235443115,False,06-04 05:03:13,2.34602689743042,False,06-04 05:03:19,0.7977859973907471,False,06-04 05:03:23,0.8548378944396973
co,06-04 05:03:26,False,06-04 05:04:42,219.1778748035431,False,06-04 05:08:25,0.3985621929168701,False,06-04 05:08:28,78.26890110969543,True,06-04 05:03:27,16.165132999420166,False,06-04 05:03:46,32.25016713142395,True,06-04 05:04:22,17.48003602027893
thepiratebay,06-04 05:09:48,True,06-04 05:10:15,80.42008686065674,False,06-04 05:11:39,150.43290090560913,True,06-04 05:14:12,3.631854295730591,True,06-04 05:09:50,7.781993865966797,True,06-04 05:10:01,3.50018572807312,True,06-04 05:10:07,4.709365129470825
daum,06-04 05:14:18,False,06-04 05:14:19,119.23850870132446,False,06-04 05:16:21,0.3835930824279785,True,06-04 05:16:25,238.7086570262909,True,06-04 05:20:27,29.567291021347046,True,06-04 05:21:00,23.959250926971436,False,06-04 05:21:27,31.12990689277649
com,06-04 05:22:00,False,06-04 05:25:01,151.1896460056305,True,06-04 05:27:35,509.87792205810547,True,06-04 05:36:08,12.799064874649048,False,06-04 05:22:01,31.65642213821411,True,06-04 05:22:36,94.2166690826416,True,06-04 05:24:13,44.53861618041992
stackexchange,06-04 05:36:23,True,06-04 05:37:02,318.1176829338074,True,06-04 05:42:23,241.23718094825745,True,06-04 05:46:28,8.933407068252563,False,06-04 05:36:24,12.048732280731201,True,06-04 05:36:40,9.387432336807251,True,06-04 05:36:52,6.837232828140259
indiatimes,06-04 05:46:39,False,06-04 05:56:27,230.37527799606323,False,06-04 06:00:21,75.99372100830078,False,06-04 06:01:40,227.04996514320374,False,06-04 05:46:40,10.727955102920532,True,06-04 05:46:54,566.5600807666779,False,06-04 05:56:24,0.4538540840148926
w3schools,06-04 06:05:29,False,06-04 06:06:13,77.06803798675537,False,06-04 06:07:33,75.45811605453491,True,06-04 06:08:52,161.70681476593018,False,06-04 06:05:30,10.781211853027344,False,06-04 06:05:44,10.704555034637451,False,06-04 06:05:58,11.749303102493286
livejasmin,06-04 06:11:35,False,06-04 06:11:37,75.6806869506836,True,06-04 06:12:55,96.49397397041321,False,06-04 06:14:35,77.83487892150879,False,06-04 06:15:56,11.684698820114136,False,06-04 06:16:11,11.489760160446167,True,06-04 06:16:26,23.512845993041992
tudou,06-04 06:16:51,True,06-04 06:16:52,188.78438186645508,False,06-04 06:20:04,76.00864100456238,False,06-04 06:21:23,75.44251298904419,False,06-04 06:22:42,11.769770860671997,True,06-04 06:22:57,60.771581172943115,False,06-04 06:24:01,41.32575511932373
wordpress,06-04 06:24:44,False,06-04 06:26:02,76.13803815841675,True,06-04 06:27:21,102.32508111000061,False,06-04 06:29:07,75.71850514411926,True,06-04 06:24:45,23.222932815551758,True,06-04 06:25:12,22.02830481529236,True,06-04 06:25:37,21.82391905784607
slideshare,06-04 06:30:25,True,06-04 06:31:29,97.40360283851624,False,06-04 06:33:09,75.43580985069275,True,06-04 06:34:28,168.60959386825562,True,06-04 06:30:26,29.375235080718994,True,06-04 06:30:58,13.06337594985962,True,06-04 06:31:14,10.93236517906189
uptodown,06-04 06:37:18,False,06-04 06:38:15,81.0229480266571,False,06-04 06:39:39,76.0850338935852,False,06-04 06:40:59,76.53588318824768,False,06-04 06:37:20,11.986953973770142,False,06-04 06:37:35,11.461483001708984,True,06-04 06:37:49,22.585994243621826
blastingnews,06-04 06:42:17,False,06-04 06:43:40,78.70518779754639,False,06-04 06:45:02,82.99657106399536,False,06-04 06:46:28,79.08735799789429,True,06-04 06:42:18,34.99096488952637,True,06-04 06:42:56,18.049349784851074,True,06-04 06:43:18,19.450618028640747
avito,06-04 06:47:49,False,06-04 06:47:51,75.7136619091034,False,06-04 06:49:09,75.45051693916321,False,06-04 06:50:28,76.55192184448242,False,06-04 06:51:48,10.743802070617676,True,06-04 06:52:02,31.572818994522095,False,06-04 06:52:36,0.40027689933776855
deviantart,06-04 06:52:39,True,06-04 06:52:40,449.5826518535614,True,06-04 07:00:13,417.56262588500977,True,06-04 07:07:13,374.95902585983276,True,06-04 07:13:32,43.2319700717926,False,06-04 07:14:18,0.40009212493896484,False,06-04 07:14:22,0.3863952159881592
indeed,06-04 07:14:24,False,06-04 07:14:37,72.16769528388977,False,06-04 07:15:52,0.3950779438018799,False,06-04 07:15:56,77.83914923667908,False,06-04 07:14:25,0.8020563125610352,False,06-04 07:14:29,0.7200760841369629,False,06-04 07:14:33,0.6889231204986572
huffingtonpost,06-04 07:17:16,True,06-04 07:17:17,112.95790195465088,True,06-04 07:19:13,38.46538186073303,False,06-04 07:19:55,0.40015101432800293,False,06-04 07:19:58,10.739110946655273,True,06-04 07:20:12,142.94855785369873,False,06-04 07:22:38,0.7710919380187988
theguardian,06-04 07:22:41,True,06-04 07:22:55,253.45248007774353,True,06-04 07:27:12,328.50442695617676,False,06-04 07:32:43,80.30316591262817,False,06-04 07:22:42,0.857841968536377,False,06-04 07:22:46,0.7416191101074219,False,06-04 07:22:50,1.8697609901428223
vice,06-04 07:52:15,True,06-04 07:53:30,400.57224774360657,True,06-04 08:00:14,184.1578769683838,True,06-04 08:03:21,400.4011170864105,False,06-04 07:52:17,13.719462156295776,True,06-04 07:52:33,47.372923135757446,False,06-04 07:53:24,2.762666940689087
chase,06-04 08:15:18,False,06-04 08:25:50,78.27131199836731,True,06-04 08:27:11,26.64770793914795,True,06-04 08:27:41,85.69070792198181,False,06-04 08:15:19,600.0252821445465,False,06-04 08:25:22,10.720459938049316,False,06-04 08:25:36,10.717891931533813
cnet,06-04 08:29:09,True,06-04 08:29:10,115.73703098297119,False,06-04 08:31:09,77.4742841720581,False,06-04 08:32:29,76.09008383750916,True,06-04 08:33:49,95.50690984725952,False,06-04 08:35:27,0.39179110527038574,False,06-04 08:35:31,0.3899831771850586
outbrain,06-04 08:35:33,True,06-04 08:35:34,165.29375505447388,True,06-04 08:38:23,162.32522797584534,True,06-04 08:41:08,95.90372610092163,False,06-04 08:42:47,13.763471841812134,False,06-04 08:43:04,11.411620140075684,False,06-04 08:43:19,11.424257755279541
9gag,06-04 08:43:32,True,06-04 08:44:13,86.22042512893677,False,06-04 08:45:42,600.0250549316406,True,06-04 08:55:45,113.42209911346436,True,06-04 08:43:34,28.475014209747314,False,06-04 08:44:05,0.7509911060333252,False,06-04 08:44:09,0.42911219596862793
buzzfeed,06-04 08:57:41,True,06-04 08:57:42,565.2181329727173,True,06-04 09:07:10,273.7568781375885,True,06-04 09:11:47,148.93716502189636,False,06-04 09:14:19,0.4385559558868408,True,06-04 09:14:23,25.714879035949707,True,06-04 09:14:52,14.713310956954956
trello,06-04 09:15:08,True,06-04 09:15:22,49.51854085922241,False,06-04 09:16:14,7.438549041748047,True,06-04 09:16:25,159.59438800811768,False,06-04 09:15:10,1.1551051139831543,False,06-04 09:15:14,0.7504088878631592,False,06-04 09:15:18,0.7375118732452393
slack,06-04 09:19:07,True,06-04 09:19:08,177.9149408340454,False,06-04 09:22:09,75.7261700630188,True,06-04 09:23:28,98.93557095527649,True,06-04 09:25:10,19.486549854278564,True,06-04 09:25:33,14.996486186981201,False,06-04 09:25:51,0.3945589065551758
github,06-04 09:25:53,True,06-04 09:26:05,190.37291717529297,True,06-04 09:29:19,282.31020498275757,False,06-04 09:34:04,0.38513684272766113,False,06-04 09:25:54,0.40024495124816895,False,06-04 09:25:58,0.3964238166809082,False,06-04 09:26:01,0.42702484130859375
csdn,06-04 09:34:06,True,06-04 09:34:08,128.45129919052124,False,06-04 09:36:19,85.47296214103699,True,06-04 09:37:48,129.1780149936676,False,06-04 09:40:00,600.0200591087341,False,06-04 09:50:03,11.001843214035034,False,06-04 09:50:18,600.0270380973816
sogou,06-04 10:00:20,True,06-04 10:00:21,20.715674877166748,False,06-04 10:00:45,155.74384808540344,False,06-04 10:03:24,151.02707362174988,True,06-04 10:05:58,9.848674058914185,True,06-04 10:06:11,11.232689142227173,True,06-04 10:06:25,7.067697048187256
hclips,06-04 10:06:34,True,06-04 10:06:35,171.69224214553833,False,06-04 10:09:30,241.26431107521057,True,06-04 10:13:35,477.4046890735626,False,06-04 10:21:35,11.752331972122192,False,06-04 10:21:50,11.442195892333984,False,06-04 10:22:05,11.44848895072937
